SNP_ID	DiseaseTrait
rs2290849	No associated clinical information for this SNP
rs16840020	No associated clinical information for this SNP
rs6681148	No associated clinical information for this SNP
rs12121369	No associated clinical information for this SNP
rs10799174	No associated clinical information for this SNP
rs6698702	No associated clinical information for this SNP
rs4641339	No associated clinical information for this SNP
rs10492931	No associated clinical information for this SNP
rs7528871	No associated clinical information for this SNP
rs938962	No associated clinical information for this SNP
rs4259664	No associated clinical information for this SNP
rs2353169	No associated clinical information for this SNP
rs12026938	No associated clinical information for this SNP
rs12135834	No associated clinical information for this SNP
rs670971	No associated clinical information for this SNP
rs6703948	No associated clinical information for this SNP
rs630153	No associated clinical information for this SNP
rs4847576	No associated clinical information for this SNP
rs490606	No associated clinical information for this SNP
rs10915403	No associated clinical information for this SNP
rs7418357	No associated clinical information for this SNP
rs3922826	No associated clinical information for this SNP
rs7415936	No associated clinical information for this SNP
rs10907214	No associated clinical information for this SNP
rs9786944	No associated clinical information for this SNP
rs1935762	No associated clinical information for this SNP
rs12067065	No associated clinical information for this SNP
rs4845835	No associated clinical information for this SNP
rs950601	No associated clinical information for this SNP
rs707582	No associated clinical information for this SNP
rs11260662	No associated clinical information for this SNP
rs9439587	No associated clinical information for this SNP
rs12143743	No associated clinical information for this SNP
rs12145625	No associated clinical information for this SNP
rs17426695	No associated clinical information for this SNP
rs1499395	No associated clinical information for this SNP
rs709184	No associated clinical information for this SNP
rs1763321	No associated clinical information for this SNP
rs4433399	Response to radiotherapy in nasopharyngeal carcinoma (acute oral mucositis)
rs12063117	No associated clinical information for this SNP
rs7522874	No associated clinical information for this SNP
rs11586334	No associated clinical information for this SNP
rs7549324	No associated clinical information for this SNP
rs10492950	No associated clinical information for this SNP
rs12142270	No associated clinical information for this SNP
rs11121065	No associated clinical information for this SNP
rs3789553	No associated clinical information for this SNP
rs1064721	No associated clinical information for this SNP
rs4908877	No associated clinical information for this SNP
rs6696861	No associated clinical information for this SNP
rs3789482	No associated clinical information for this SNP
rs3827718	No associated clinical information for this SNP
rs3935435	No associated clinical information for this SNP
rs11122083	No associated clinical information for this SNP
rs6679649	No associated clinical information for this SNP
rs200447	No associated clinical information for this SNP
rs11122115	No associated clinical information for this SNP
rs277671	No associated clinical information for this SNP
rs277682	No associated clinical information for this SNP
rs11590169	Height
rs12069069	No associated clinical information for this SNP
rs11122141	No associated clinical information for this SNP
rs10864639	No associated clinical information for this SNP
rs659459	No associated clinical information for this SNP
rs12058103	No associated clinical information for this SNP
rs6688732	No associated clinical information for this SNP
rs1876848	No associated clinical information for this SNP
rs6577395	No associated clinical information for this SNP
rs12043302	Gestational age at birth in labor-initiated deliveries (child effect)
rs4908432	No associated clinical information for this SNP
rs6702309	No associated clinical information for this SNP
rs11809898	No associated clinical information for this SNP
rs4243823	No associated clinical information for this SNP
rs10864266	No associated clinical information for this SNP
rs4074964	No associated clinical information for this SNP
rs7536178	No associated clinical information for this SNP
rs17030214	No associated clinical information for this SNP
rs7544611	No associated clinical information for this SNP
rs7532024	Levodopa wearing off effect (time symptoms uncontrolled) in Parkinson's disease (response to zonisamide)
rs4908600	No associated clinical information for this SNP
rs6701870	No associated clinical information for this SNP
rs2071924	No associated clinical information for this SNP
rs17350193	No associated clinical information for this SNP
rs12402763	No associated clinical information for this SNP
rs2301462	No associated clinical information for this SNP
rs11120917	No associated clinical information for this SNP
rs6677745	No associated clinical information for this SNP
rs11120921	No associated clinical information for this SNP
rs1193220	No associated clinical information for this SNP
rs6678279	No associated clinical information for this SNP
rs1193180	No associated clinical information for this SNP
rs17031140	No associated clinical information for this SNP
rs10495757	No associated clinical information for this SNP
rs9988575	No associated clinical information for this SNP
rs7519687	No associated clinical information for this SNP
rs12139470	No associated clinical information for this SNP
rs2032563	No associated clinical information for this SNP
rs1044245	No associated clinical information for this SNP
rs697686	No associated clinical information for this SNP
rs10462018	Imidazole propionate levels in elite athletes
rs228651	No associated clinical information for this SNP
rs161811	No associated clinical information for this SNP
rs12727642	Celiac disease
rs11121083	No associated clinical information for this SNP
rs11121086	No associated clinical information for this SNP
rs4908736	No associated clinical information for this SNP
rs390468	No associated clinical information for this SNP
rs428046	No associated clinical information for this SNP
rs4908744	No associated clinical information for this SNP
rs17032407	No associated clinical information for this SNP
rs2289731	Breast cancer
rs11121179	No associated clinical information for this SNP
rs11581328	Height
rs17032610	No associated clinical information for this SNP
rs6656249	No associated clinical information for this SNP
rs10492966	No associated clinical information for this SNP
rs6675857	No associated clinical information for this SNP
rs4908769	Allergy
rs11121213	No associated clinical information for this SNP
rs12567592	No associated clinical information for this SNP
rs4908777	No associated clinical information for this SNP
rs10492963	No associated clinical information for this SNP
rs11586056	Height
rs10864368	White blood cell count
rs10218541	No associated clinical information for this SNP
rs4418632	No associated clinical information for this SNP
rs6688840	No associated clinical information for this SNP
rs6692694	No associated clinical information for this SNP
rs2274327	No associated clinical information for this SNP
rs2274328	No associated clinical information for this SNP
rs4466678	No associated clinical information for this SNP
rs6697763	Carbonic anhydrase 6 levels
rs7533137	No associated clinical information for this SNP
rs9803645	No associated clinical information for this SNP
rs17033008	No associated clinical information for this SNP
rs11810507	No associated clinical information for this SNP
rs7544111	No associated clinical information for this SNP
rs7530465	No associated clinical information for this SNP
rs12073178	No associated clinical information for this SNP
rs12145292	No associated clinical information for this SNP
rs12751466	No associated clinical information for this SNP
rs12121864	Developmental language disorder (linguistic errors)
rs809972	No associated clinical information for this SNP
rs4908817	No associated clinical information for this SNP
rs2239560	No associated clinical information for this SNP
rs2268169	No associated clinical information for this SNP
rs2871656	No associated clinical information for this SNP
rs10492967	No associated clinical information for this SNP
rs9308447	Dental caries
rs9787285	Height
rs12565445	No associated clinical information for this SNP
rs12042017	No associated clinical information for this SNP
rs12755956	No associated clinical information for this SNP
rs7411273	No associated clinical information for this SNP
rs9430506	No associated clinical information for this SNP
rs12568084	No associated clinical information for this SNP
rs12075554	No associated clinical information for this SNP
rs10864436	No associated clinical information for this SNP
rs1933734	No associated clinical information for this SNP
rs11121515	No associated clinical information for this SNP
rs10127541	No associated clinical information for this SNP
rs17034501	No associated clinical information for this SNP
rs12070814	No associated clinical information for this SNP
rs946504	No associated clinical information for this SNP
rs4846212	No associated clinical information for this SNP
rs2182326	No associated clinical information for this SNP
rs4846217	Platelet count
rs544289	No associated clinical information for this SNP
rs6540935	No associated clinical information for this SNP
rs10157111	No associated clinical information for this SNP
rs11577757	No associated clinical information for this SNP
rs284272	No associated clinical information for this SNP
rs284267	No associated clinical information for this SNP
rs4845953	No associated clinical information for this SNP
rs205490	No associated clinical information for this SNP
rs1769669	No associated clinical information for this SNP
rs539790	No associated clinical information for this SNP
rs7555879	No associated clinical information for this SNP
rs946684	No associated clinical information for this SNP
rs12140279	No associated clinical information for this SNP
rs1280989	No associated clinical information for this SNP
rs1280972	No associated clinical information for this SNP
rs1280984	No associated clinical information for this SNP
rs744921	No associated clinical information for this SNP
rs1281008	No associated clinical information for this SNP
rs12059717	No associated clinical information for this SNP
rs2275525	No associated clinical information for this SNP
rs17036350	Corneal curvature
rs2788549	No associated clinical information for this SNP
rs6660541	No associated clinical information for this SNP
rs6685668	No associated clinical information for this SNP
rs4335380	No associated clinical information for this SNP
rs2379143	No associated clinical information for this SNP
rs877309	No associated clinical information for this SNP
rs10864508	No associated clinical information for this SNP
rs11585441	No associated clinical information for this SNP
rs11808316	No associated clinical information for this SNP
rs2745275	No associated clinical information for this SNP
rs17037122	No associated clinical information for this SNP
rs9651118	Moyamoya disease
rs17376328	Systolic blood pressure
rs198372	No associated clinical information for this SNP
rs198388	No associated clinical information for this SNP
rs12562952	No associated clinical information for this SNP
rs6541012	No associated clinical information for this SNP
rs648194	No associated clinical information for this SNP
rs1061631	No associated clinical information for this SNP
rs7552664	No associated clinical information for this SNP
rs235256	No associated clinical information for this SNP
rs235243	No associated clinical information for this SNP
rs12731666	No associated clinical information for this SNP
rs6541024	No associated clinical information for this SNP
rs4845904	No associated clinical information for this SNP
rs3128458	No associated clinical information for this SNP
rs12070206	No associated clinical information for this SNP
rs11121955	No associated clinical information for this SNP
rs2027589	No associated clinical information for this SNP
rs2489260	Obesity-related traits
rs3000857	No associated clinical information for this SNP
rs3010877	No associated clinical information for this SNP
rs3000931	No associated clinical information for this SNP
rs11809649	No associated clinical information for this SNP
rs1811829	No associated clinical information for this SNP
rs4282833	No associated clinical information for this SNP
rs1812242	No associated clinical information for this SNP
rs864728	No associated clinical information for this SNP
rs11580598	No associated clinical information for this SNP
rs12128613	No associated clinical information for this SNP
rs3013101	No associated clinical information for this SNP
rs11578529	No associated clinical information for this SNP
rs11811167	No associated clinical information for this SNP
rs10803381	No associated clinical information for this SNP
rs16851109	No associated clinical information for this SNP
rs16851217	No associated clinical information for this SNP
rs12750399	No associated clinical information for this SNP
rs12034380	No associated clinical information for this SNP
rs12085507	No associated clinical information for this SNP
rs946332	No associated clinical information for this SNP
rs12735797	No associated clinical information for this SNP
rs2361030	No associated clinical information for this SNP
rs1148455	No associated clinical information for this SNP
rs10927904	No associated clinical information for this SNP
rs7514217	No associated clinical information for this SNP
rs11588651	No associated clinical information for this SNP
rs12408369	No associated clinical information for this SNP
rs4661410	No associated clinical information for this SNP
rs3856318	No associated clinical information for this SNP
rs10489151	No associated clinical information for this SNP
rs7522689	No associated clinical information for this SNP
rs1203638	Anti-drug antibodies in autoimmune disease (time to event)
rs2281170	No associated clinical information for this SNP
rs12092520	No associated clinical information for this SNP
rs10927938	No associated clinical information for this SNP
rs12407665	No associated clinical information for this SNP
rs2038095	No associated clinical information for this SNP
rs6429804	No associated clinical information for this SNP
rs12127990	No associated clinical information for this SNP
rs7543063	No associated clinical information for this SNP
rs1005301	No associated clinical information for this SNP
rs10927966	No associated clinical information for this SNP
rs10927969	No associated clinical information for this SNP
rs12043211	No associated clinical information for this SNP
rs4662057	No associated clinical information for this SNP
rs12044299	Response to SSRI (symptom remission)
rs12117960	No associated clinical information for this SNP
rs725397	No associated clinical information for this SNP
rs7551405	No associated clinical information for this SNP
rs7414562	No associated clinical information for this SNP
rs2294811	No associated clinical information for this SNP
rs4662089	No associated clinical information for this SNP
rs12748863	No associated clinical information for this SNP
rs727668	No associated clinical information for this SNP
rs12726425	No associated clinical information for this SNP
rs7515917	No associated clinical information for this SNP
rs6664213	No associated clinical information for this SNP
rs4662110	No associated clinical information for this SNP
rs1417144	No associated clinical information for this SNP
rs12758112	No associated clinical information for this SNP
rs10489144	No associated clinical information for this SNP
rs12568548	No associated clinical information for this SNP
rs10928048	No associated clinical information for this SNP
rs10754914	Vertex-wise sulcal depth
rs10803474	No associated clinical information for this SNP
rs517269	No associated clinical information for this SNP
rs657359	No associated clinical information for this SNP
rs1339366	No associated clinical information for this SNP
rs12024171	No associated clinical information for this SNP
rs12403204	No associated clinical information for this SNP
rs10928056	No associated clinical information for this SNP
rs12406699	No associated clinical information for this SNP
rs3737643	No associated clinical information for this SNP
rs17395713	No associated clinical information for this SNP
rs2149507	No associated clinical information for this SNP
rs820623	No associated clinical information for this SNP
rs703797	No associated clinical information for this SNP
rs768725	No associated clinical information for this SNP
rs12401776	No associated clinical information for this SNP
rs12564154	No associated clinical information for this SNP
rs2480060	No associated clinical information for this SNP
rs2211180	No associated clinical information for this SNP
rs10927460	No associated clinical information for this SNP
rs4385705	No associated clinical information for this SNP
rs10927466	No associated clinical information for this SNP
rs6666337	No associated clinical information for this SNP
rs7527439	No associated clinical information for this SNP
rs10803288	No associated clinical information for this SNP
rs7542378	No associated clinical information for this SNP
rs1009735	No associated clinical information for this SNP
rs6429674	No associated clinical information for this SNP
rs6429675	No associated clinical information for this SNP
rs3930209	No associated clinical information for this SNP
rs6671788	No associated clinical information for this SNP
rs3845590	No associated clinical information for this SNP
rs3795756	No associated clinical information for this SNP
rs804134	No associated clinical information for this SNP
rs11585327	No associated clinical information for this SNP
rs10803320	No associated clinical information for this SNP
rs3765379	No associated clinical information for this SNP
rs2801178	No associated clinical information for this SNP
rs10754873	No associated clinical information for this SNP
rs4661548	No associated clinical information for this SNP
rs11485048	No associated clinical information for this SNP
rs7531035	No associated clinical information for this SNP
rs1316257	No associated clinical information for this SNP
rs10803337	No associated clinical information for this SNP
rs7529561	No associated clinical information for this SNP
rs10803338	No associated clinical information for this SNP
rs7541955	No associated clinical information for this SNP
rs6681053	No associated clinical information for this SNP
rs7554543	No associated clinical information for this SNP
rs11578349	No associated clinical information for this SNP
rs2871890	No associated clinical information for this SNP
rs10927657	No associated clinical information for this SNP
rs10927670	No associated clinical information for this SNP
rs10927687	No associated clinical information for this SNP
rs12135755	No associated clinical information for this SNP
rs4661594	No associated clinical information for this SNP
rs10927713	No associated clinical information for this SNP
rs1316277	No associated clinical information for this SNP
rs12121147	No associated clinical information for this SNP
rs6429732	No associated clinical information for this SNP
rs767255	No associated clinical information for this SNP
rs1985917	No associated clinical information for this SNP
rs11585810	No associated clinical information for this SNP
rs752626	No associated clinical information for this SNP
rs12725686	No associated clinical information for this SNP
rs7554324	No associated clinical information for this SNP
rs763821	No associated clinical information for this SNP
rs12126178	No associated clinical information for this SNP
rs4661330	No associated clinical information for this SNP
rs736185	Height
rs742362	No associated clinical information for this SNP
rs11579489	No associated clinical information for this SNP
rs11580170	No associated clinical information for this SNP
rs12746773	No associated clinical information for this SNP
rs7552400	No associated clinical information for this SNP
rs12745403	No associated clinical information for this SNP
rs12091644	No associated clinical information for this SNP
rs12725198	Cardiac Troponin-T levels
rs12569079	No associated clinical information for this SNP
rs7552077	No associated clinical information for this SNP
rs16852052	No associated clinical information for this SNP
rs10927873	No associated clinical information for this SNP
rs698894	No associated clinical information for this SNP
rs11260711	No associated clinical information for this SNP
rs11588669	No associated clinical information for this SNP
rs6698317	Vertex-wise cortical surface area
rs4661736	No associated clinical information for this SNP
rs11260727	No associated clinical information for this SNP
rs11203280	A body shape index
rs2235927	No associated clinical information for this SNP
rs730387	No associated clinical information for this SNP
rs4920358	No associated clinical information for this SNP
rs3003479	No associated clinical information for this SNP
rs16823950	No associated clinical information for this SNP
rs3003423	No associated clinical information for this SNP
rs2293917	No associated clinical information for this SNP
rs11585118	No associated clinical information for this SNP
rs1204891	No associated clinical information for this SNP
rs3752353	No associated clinical information for this SNP
rs2883272	No associated clinical information for this SNP
rs11203414	No associated clinical information for this SNP
rs4920374	No associated clinical information for this SNP
rs2249161	No associated clinical information for this SNP
rs2256114	No associated clinical information for this SNP
rs10492992	No associated clinical information for this SNP
rs6703771	Core binding factor acute myeloid leukemia
rs883379	No associated clinical information for this SNP
rs7531556	Core binding factor acute myeloid leukemia
rs2185324	No associated clinical information for this SNP
rs6660824	No associated clinical information for this SNP
rs11584149	No associated clinical information for this SNP
rs7520825	No associated clinical information for this SNP
rs7552919	No associated clinical information for this SNP
rs4920642	No associated clinical information for this SNP
rs694214	No associated clinical information for this SNP
rs12097284	No associated clinical information for this SNP
rs587276	No associated clinical information for this SNP
rs627018	No associated clinical information for this SNP
rs597865	No associated clinical information for this SNP
rs675992	No associated clinical information for this SNP
rs620547	No associated clinical information for this SNP
rs7531345	No associated clinical information for this SNP
rs12083022	No associated clinical information for this SNP
rs7554885	No associated clinical information for this SNP
rs12408422	No associated clinical information for this SNP
rs10788647	No associated clinical information for this SNP
rs2095518	No associated clinical information for this SNP
rs12408792	No associated clinical information for this SNP
rs11588830	No associated clinical information for this SNP
rs1192613	No associated clinical information for this SNP
rs12743154	No associated clinical information for this SNP
rs12093627	No associated clinical information for this SNP
rs16861446	No associated clinical information for this SNP
rs1316880	No associated clinical information for this SNP
rs1031567	No associated clinical information for this SNP
rs9662272	No associated clinical information for this SNP
rs12739708	No associated clinical information for this SNP
rs4920297	No associated clinical information for this SNP
rs1858589	No associated clinical information for this SNP
rs11581496	No associated clinical information for this SNP
rs12742611	No associated clinical information for this SNP
rs4311853	No associated clinical information for this SNP
rs1013007	No associated clinical information for this SNP
rs12033929	No associated clinical information for this SNP
rs3738089	No associated clinical information for this SNP
rs223192	No associated clinical information for this SNP
rs223201	No associated clinical information for this SNP
rs1832787	No associated clinical information for this SNP
rs223216	No associated clinical information for this SNP
rs10489573	Core binding factor acute myeloid leukemia
rs10465918	No associated clinical information for this SNP
rs1577608	No associated clinical information for this SNP
rs7538502	No associated clinical information for this SNP
rs12410065	No associated clinical information for this SNP
rs10907312	No associated clinical information for this SNP
rs12144656	No associated clinical information for this SNP
rs11261014	No associated clinical information for this SNP
rs11261020	No associated clinical information for this SNP
rs3007720	No associated clinical information for this SNP
rs6679160	No associated clinical information for this SNP
rs17351864	No associated clinical information for this SNP
rs909948	No associated clinical information for this SNP
rs9439709	No associated clinical information for this SNP
rs2076778	No associated clinical information for this SNP
rs11261034	No associated clinical information for this SNP
rs11806753	No associated clinical information for this SNP
rs11261046	No associated clinical information for this SNP
rs2236835	Body mass index
rs2236817	No associated clinical information for this SNP
rs2743189	No associated clinical information for this SNP
rs626600	No associated clinical information for this SNP
rs12732543	No associated clinical information for this SNP
rs4920537	No associated clinical information for this SNP
rs7533384	No associated clinical information for this SNP
rs11261073	No associated clinical information for this SNP
rs6691420	No associated clinical information for this SNP
rs6685177	No associated clinical information for this SNP
rs4920550	Total PHF-tau (SNP x SNP interaction)
rs4920552	No associated clinical information for this SNP
rs3935570	Metabolite levels
rs6680748	No associated clinical information for this SNP
rs4912029	No associated clinical information for this SNP
rs7531434	No associated clinical information for this SNP
rs6683868	No associated clinical information for this SNP
rs7553674	No associated clinical information for this SNP
rs10916957	No associated clinical information for this SNP
rs6696220	No associated clinical information for this SNP
rs12062540	Height
rs10158092	No associated clinical information for this SNP
rs12085519	No associated clinical information for this SNP
rs709682	No associated clinical information for this SNP
rs710865	Brain structure
rs10917277	No associated clinical information for this SNP
rs947534	No associated clinical information for this SNP
rs12118471	No associated clinical information for this SNP
rs214303	No associated clinical information for this SNP
rs6663076	No associated clinical information for this SNP
rs1566531	No associated clinical information for this SNP
rs10799810	No associated clinical information for this SNP
rs10492998	No associated clinical information for this SNP
rs16862800	No associated clinical information for this SNP
rs10917461	No associated clinical information for this SNP
rs11806434	No associated clinical information for this SNP
rs12087005	No associated clinical information for this SNP
rs4278387	No associated clinical information for this SNP
rs12726742	No associated clinical information for this SNP
rs2792029	No associated clinical information for this SNP
rs11808452	No associated clinical information for this SNP
rs860847	No associated clinical information for this SNP
rs1320978	No associated clinical information for this SNP
rs880554	No associated clinical information for this SNP
rs3748744	Height
rs3748748	No associated clinical information for this SNP
rs4912019	No associated clinical information for this SNP
rs4486471	No associated clinical information for this SNP
rs1473689	No associated clinical information for this SNP
rs10917536	No associated clinical information for this SNP
rs7513083	No associated clinical information for this SNP
rs7531128	No associated clinical information for this SNP
rs10916668	No associated clinical information for this SNP
rs10916669	No associated clinical information for this SNP
rs1572783	No associated clinical information for this SNP
rs2066130	No associated clinical information for this SNP
rs12408941	Group IIA secretory phospholipase A2 levels in individuals with elevated hsCRP
rs10916679	Educational attainment
rs17411112	No associated clinical information for this SNP
rs2872821	No associated clinical information for this SNP
rs6672057	No associated clinical information for this SNP
rs17402685	No associated clinical information for this SNP
rs1395470	No associated clinical information for this SNP
rs17354650	Phospholipase A2, membrane associated levels
rs1891318	No associated clinical information for this SNP
rs606980	No associated clinical information for this SNP
rs10916703	No associated clinical information for this SNP
rs11573219	No associated clinical information for this SNP
rs521179	No associated clinical information for this SNP
rs11573253	No associated clinical information for this SNP
rs660414	Core binding factor acute myeloid leukemia
rs12045689	No associated clinical information for this SNP
rs1567102	No associated clinical information for this SNP
rs631134	No associated clinical information for this SNP
rs6657574	No associated clinical information for this SNP
rs7546956	No associated clinical information for this SNP
rs12139100	No associated clinical information for this SNP
rs12077771	No associated clinical information for this SNP
rs2213802	No associated clinical information for this SNP
rs10916732	No associated clinical information for this SNP
rs743982	No associated clinical information for this SNP
rs11800772	No associated clinical information for this SNP
rs12067030	No associated clinical information for this SNP
rs10916749	No associated clinical information for this SNP
rs1076624	No associated clinical information for this SNP
rs12044035	No associated clinical information for this SNP
rs10916754	No associated clinical information for this SNP
rs4654849	No associated clinical information for this SNP
rs12095205	No associated clinical information for this SNP
rs4590651	No associated clinical information for this SNP
rs2072751	No associated clinical information for this SNP
rs230177	No associated clinical information for this SNP
rs12045792	No associated clinical information for this SNP
rs10916777	No associated clinical information for this SNP
rs10916779	No associated clinical information for this SNP
rs1108610	No associated clinical information for this SNP
rs4654860	No associated clinical information for this SNP
rs750070	No associated clinical information for this SNP
rs618041	No associated clinical information for this SNP
rs12741740	No associated clinical information for this SNP
rs17412284	No associated clinical information for this SNP
rs11589673	No associated clinical information for this SNP
rs1415176	No associated clinical information for this SNP
rs6690069	No associated clinical information for this SNP
rs11579101	No associated clinical information for this SNP
rs12036909	No associated clinical information for this SNP
rs10799658	No associated clinical information for this SNP
rs623817	No associated clinical information for this SNP
rs10799660	No associated clinical information for this SNP
rs2274119	No associated clinical information for this SNP
rs12724604	No associated clinical information for this SNP
rs12036633	No associated clinical information for this SNP
rs559177	No associated clinical information for this SNP
rs2274120	No associated clinical information for this SNP
rs2320590	No associated clinical information for this SNP
rs10916878	No associated clinical information for this SNP
rs6426650	No associated clinical information for this SNP
rs11581807	No associated clinical information for this SNP
rs11590928	No associated clinical information for this SNP
rs1076669	No associated clinical information for this SNP
rs2282715	No associated clinical information for this SNP
rs212531	No associated clinical information for this SNP
rs3026867	No associated clinical information for this SNP
rs10916959	No associated clinical information for this SNP
rs213028	No associated clinical information for this SNP
rs471359	No associated clinical information for this SNP
rs4654918	No associated clinical information for this SNP
rs213006	No associated clinical information for this SNP
rs4614227	No associated clinical information for this SNP
rs7527555	No associated clinical information for this SNP
rs904927	No associated clinical information for this SNP
rs12119205	No associated clinical information for this SNP
rs1256348	Height
rs1780327	No associated clinical information for this SNP
rs3767152	No associated clinical information for this SNP
rs3738097	No associated clinical information for this SNP
rs1767444	No associated clinical information for this SNP
rs3767132	No associated clinical information for this SNP
rs3767133	No associated clinical information for this SNP
rs17457434	No associated clinical information for this SNP
rs12030578	No associated clinical information for this SNP
rs12404444	No associated clinical information for this SNP
rs878949	No associated clinical information for this SNP
rs6698486	No associated clinical information for this SNP
rs11589754	No associated clinical information for this SNP
rs2473277	Height
rs11800014	No associated clinical information for this SNP
rs12740705	No associated clinical information for this SNP
rs7542242	Height
rs17360053	Obesity-related traits
rs11579887	No associated clinical information for this SNP
rs2807349	No associated clinical information for this SNP
rs7552560	No associated clinical information for this SNP
rs17356177	No associated clinical information for this SNP
rs2491210	No associated clinical information for this SNP
rs7538267	No associated clinical information for this SNP
rs6660548	No associated clinical information for this SNP
rs6682619	No associated clinical information for this SNP
rs11581210	No associated clinical information for this SNP
rs6696981	Bone mineral density (spine)
rs6690260	No associated clinical information for this SNP
rs7543680	No associated clinical information for this SNP
rs1890775	No associated clinical information for this SNP
rs12133700	No associated clinical information for this SNP
rs10493014	No associated clinical information for this SNP
rs671485	No associated clinical information for this SNP
rs186037	No associated clinical information for this SNP
rs2031749	No associated clinical information for this SNP
rs2869513	No associated clinical information for this SNP
rs893964	No associated clinical information for this SNP
rs1561625	No associated clinical information for this SNP
rs2817876	No associated clinical information for this SNP
rs6667416	No associated clinical information for this SNP
rs11800828	No associated clinical information for this SNP
rs12131925	No associated clinical information for this SNP
rs12044504	No associated clinical information for this SNP
rs11587694	Body mass index
rs3845522	No associated clinical information for this SNP
rs641032	No associated clinical information for this SNP
rs2749158	No associated clinical information for this SNP
rs9887921	Creatinine levels
rs1787646	No associated clinical information for this SNP
rs2683061	No associated clinical information for this SNP
rs6673851	No associated clinical information for this SNP
rs10799802	No associated clinical information for this SNP
rs2902667	No associated clinical information for this SNP
rs1045017	No associated clinical information for this SNP
rs6700106	No associated clinical information for this SNP
rs4320729	No associated clinical information for this SNP
rs10493020	No associated clinical information for this SNP
rs12568789	No associated clinical information for this SNP
rs11249201	No associated clinical information for this SNP
rs11577442	No associated clinical information for this SNP
rs16829209	No associated clinical information for this SNP
rs4486393	No associated clinical information for this SNP
rs7513249	No associated clinical information for this SNP
rs12028945	No associated clinical information for this SNP
rs11249024	No associated clinical information for this SNP
rs11249039	No associated clinical information for this SNP
rs12131684	No associated clinical information for this SNP
rs4648955	No associated clinical information for this SNP
rs12139592	No associated clinical information for this SNP
rs6424169	No associated clinical information for this SNP
