SNP_ID	Chromosome_Number	Chromosome_Position	Genes	DiseaseTrait
rs12039710	1	4521278	No gene information found	No associated clinical information for this SNP
rs16839306	1	4561615	No gene information found	No associated clinical information for this SNP
rs977271	1	4565636	No gene information found	No associated clinical information for this SNP
rs10915566	1	4588720	LINC01646	No associated clinical information for this SNP
rs3896439	1	4608610	No gene information found	Dental caries
rs11587129	1	4671868	AJAP1	No associated clinical information for this SNP
rs2071995	1	4678618	AJAP1	No associated clinical information for this SNP
rs763238	1	4683644	AJAP1	No associated clinical information for this SNP
rs4654593	1	4709765	AJAP1	No associated clinical information for this SNP
rs3820253	1	4724824	AJAP1	No associated clinical information for this SNP
rs242050	1	4729119	AJAP1	No associated clinical information for this SNP
rs4654598	1	4744282	AJAP1	No associated clinical information for this SNP
rs428001	1	4754340	AJAP1	No associated clinical information for this SNP
rs2743979	1	4765092	AJAP1	No associated clinical information for this SNP
rs3766977	1	4773438	AJAP1	No associated clinical information for this SNP
rs414909	1	4778181	AJAP1	No associated clinical information for this SNP
rs9426506	1	4784316	AJAP1	No associated clinical information for this SNP
rs12026226	1	4827850	No gene information found	No associated clinical information for this SNP
rs10915626	1	4846723	No gene information found	No associated clinical information for this SNP
rs4654465	1	4894715	No gene information found	No associated clinical information for this SNP
rs4654468	1	4905571	No gene information found	No associated clinical information for this SNP
rs10915670	1	4915357	No gene information found	No associated clinical information for this SNP
rs12035499	1	4920632	No gene information found	No associated clinical information for this SNP
rs12409253	1	4934392	No gene information found	No associated clinical information for this SNP
rs12410485	1	4952295	No gene information found	No associated clinical information for this SNP
rs12029491	1	4957592	No gene information found	No associated clinical information for this SNP
rs6426375	1	4967419	No gene information found	No associated clinical information for this SNP
rs10799149	1	4971319	No gene information found	No associated clinical information for this SNP
rs7365286	1	4987103	No gene information found	No associated clinical information for this SNP
rs1459765	1	5028002	No gene information found	No associated clinical information for this SNP
rs1459761	1	5040631	No gene information found	No associated clinical information for this SNP
rs2290849	1	5091185	No gene information found	No associated clinical information for this SNP
rs16840020	1	5134144	No gene information found	No associated clinical information for this SNP
rs6681148	1	5140449	No gene information found	No associated clinical information for this SNP
rs12121369	1	5150064	No gene information found	No associated clinical information for this SNP
rs10799174	1	5157584	No gene information found	No associated clinical information for this SNP
rs6698702	1	5176050	No gene information found	No associated clinical information for this SNP
rs4641339	1	5183788	No gene information found	No associated clinical information for this SNP
rs10492931	1	5187295	No gene information found	No associated clinical information for this SNP
rs7528871	1	5199035	No gene information found	No associated clinical information for this SNP
rs938962	1	5223882	No gene information found	No associated clinical information for this SNP
rs4259664	1	5227048	No gene information found	No associated clinical information for this SNP
rs2353169	1	5236784	No gene information found	No associated clinical information for this SNP
rs12026938	1	5238430	No gene information found	No associated clinical information for this SNP
rs12135834	1	5249607	No gene information found	No associated clinical information for this SNP
rs670971	1	5252248	No gene information found	No associated clinical information for this SNP
rs6703948	1	5253385	No gene information found	No associated clinical information for this SNP
rs630153	1	5261079	No gene information found	No associated clinical information for this SNP
rs4847576	1	5275539	No gene information found	No associated clinical information for this SNP
rs490606	1	5277784	No gene information found	No associated clinical information for this SNP
rs10915403	1	5283496	No gene information found	No associated clinical information for this SNP
rs7418357	1	5411457	No gene information found	No associated clinical information for this SNP
rs3922826	1	5425117	No gene information found	No associated clinical information for this SNP
rs7415936	1	5431441	No gene information found	No associated clinical information for this SNP
rs10907214	1	5444493	No gene information found	No associated clinical information for this SNP
rs9786944	1	5488452	No gene information found	No associated clinical information for this SNP
rs1935762	1	5556770	No gene information found	No associated clinical information for this SNP
rs12067065	1	5567226	No gene information found	No associated clinical information for this SNP
rs4845835	1	5567852	No gene information found	No associated clinical information for this SNP
rs950601	1	5599527	No gene information found	No associated clinical information for this SNP
rs707582	1	5611726	No gene information found	No associated clinical information for this SNP
rs11260662	1	5614984	No gene information found	No associated clinical information for this SNP
rs9439587	1	5619748	No gene information found	No associated clinical information for this SNP
rs12143743	1	5623447	No gene information found	No associated clinical information for this SNP
rs12145625	1	5624728	No gene information found	No associated clinical information for this SNP
rs17426695	1	5636365	No gene information found	No associated clinical information for this SNP
rs1499395	1	5647878	No gene information found	No associated clinical information for this SNP
rs709184	1	5649773	No gene information found	No associated clinical information for this SNP
rs1763321	1	5657888	No gene information found	No associated clinical information for this SNP
rs4433399	1	5751064	No gene information found	Response to radiotherapy in nasopharyngeal carcinoma (acute oral mucositis)
rs12063117	1	5765339	No gene information found	No associated clinical information for this SNP
rs7522874	1	5786347	No gene information found	No associated clinical information for this SNP
rs11586334	1	5898349	NPHP4	No associated clinical information for this SNP
rs7549324	1	5921984	NPHP4	No associated clinical information for this SNP
rs10492950	1	5946512	NPHP4	No associated clinical information for this SNP
rs12142270	1	5986204	NPHP4	No associated clinical information for this SNP
rs11121065	1	6028304	KCNAB2	No associated clinical information for this SNP
rs3789553	1	6057111	KCNAB2	No associated clinical information for this SNP
rs1064721	1	6221317	ICMT	No associated clinical information for this SNP
rs4908877	1	6313414	ACOT7	No associated clinical information for this SNP
rs6696861	1	6319547	ACOT7	No associated clinical information for this SNP
rs3789482	1	6337312	ACOT7	No associated clinical information for this SNP
rs3827718	1	6350964	ACOT7	No associated clinical information for this SNP
rs3935435	1	6512115	PLEKHG5	No associated clinical information for this SNP
rs11122083	1	6533472	NOL9	No associated clinical information for this SNP
rs6679649	1	6546548	NOL9	No associated clinical information for this SNP
rs200447	1	6642091	DNAJC11	No associated clinical information for this SNP
rs11122115	1	6665367	DNAJC11	No associated clinical information for this SNP
rs277671	1	6711509	No gene information found	No associated clinical information for this SNP
rs277682	1	6725379	LINC01672	No associated clinical information for this SNP
rs11590169	1	6726521	LINC01672	Height
rs12069069	1	6756629	No gene information found	No associated clinical information for this SNP
rs11122141	1	6768230	No gene information found	No associated clinical information for this SNP
rs10864639	1	6786703	CAMTA1	No associated clinical information for this SNP
rs659459	1	6813872	CAMTA1	No associated clinical information for this SNP
rs12058103	1	6843539	CAMTA1	No associated clinical information for this SNP
rs6688732	1	6869700	CAMTA1	No associated clinical information for this SNP
rs1876848	1	6893615	CAMTA1	No associated clinical information for this SNP
rs6577395	1	6931865	CAMTA1	No associated clinical information for this SNP
rs12043302	1	6994964	CAMTA1	Gestational age at birth in labor-initiated deliveries (child effect)
rs4908432	1	7002824	CAMTA1	No associated clinical information for this SNP
rs6702309	1	7019197	CAMTA1	No associated clinical information for this SNP
rs11809898	1	7019702	CAMTA1	No associated clinical information for this SNP
rs4243823	1	7028795	CAMTA1	No associated clinical information for this SNP
rs10864266	1	7030156	CAMTA1	No associated clinical information for this SNP
rs4074964	1	7045019	CAMTA1	No associated clinical information for this SNP
rs7536178	1	7067996	CAMTA1	No associated clinical information for this SNP
rs17030214	1	7081144	CAMTA1	No associated clinical information for this SNP
rs7544611	1	7088395	CAMTA1	No associated clinical information for this SNP
rs7532024	1	7119419	CAMTA1	Levodopa wearing off effect (time symptoms uncontrolled) in Parkinson's disease (response to zonisamide)
rs4908600	1	7136599	CAMTA1	No associated clinical information for this SNP
rs6701870	1	7252198	CAMTA1	No associated clinical information for this SNP
rs2071924	1	7292914	CAMTA1	No associated clinical information for this SNP
rs17350193	1	7294057	CAMTA1	No associated clinical information for this SNP
rs12402763	1	7315335	CAMTA1	No associated clinical information for this SNP
rs2301462	1	7332534	CAMTA1	No associated clinical information for this SNP
rs11120917	1	7418016	CAMTA1	No associated clinical information for this SNP
rs6677745	1	7419994	CAMTA1	No associated clinical information for this SNP
rs11120921	1	7425246	CAMTA1	No associated clinical information for this SNP
rs1193220	1	7432205	CAMTA1	No associated clinical information for this SNP
rs6678279	1	7480710	CAMTA1	No associated clinical information for this SNP
rs1193180	1	7508922	CAMTA1	No associated clinical information for this SNP
rs17031140	1	7564795	CAMTA1	No associated clinical information for this SNP
rs10495757	1	7579248	CAMTA1	No associated clinical information for this SNP
rs9988575	1	7586241	CAMTA1	No associated clinical information for this SNP
rs7519687	1	7589655	CAMTA1	No associated clinical information for this SNP
rs12139470	1	7622429	CAMTA1	No associated clinical information for this SNP
rs2032563	1	7741228	CAMTA1	No associated clinical information for this SNP
rs1044245	1	7769047	CAMTA1	No associated clinical information for this SNP
rs697686	1	7790158	PER3	No associated clinical information for this SNP
rs10462018	1	7819567	PER3	Imidazole propionate levels in elite athletes
rs228651	1	7851039	UTS2	No associated clinical information for this SNP
rs161811	1	7939542	TNFRSF9	No associated clinical information for this SNP
rs12727642	1	7986612	No gene information found	Celiac disease
rs11121083	1	8087097	ERRFI1-DT	No associated clinical information for this SNP
rs11121086	1	8091164	ERRFI1-DT	No associated clinical information for this SNP
rs4908736	1	8127151	No gene information found	No associated clinical information for this SNP
rs390468	1	8213958	LINC01714	No associated clinical information for this SNP
rs428046	1	8218869	No gene information found	No associated clinical information for this SNP
rs4908744	1	8244547	No gene information found	No associated clinical information for this SNP
rs17032407	1	8283587	No gene information found	No associated clinical information for this SNP
rs2289731	1	8330828	SLC45A1	Breast cancer
rs11121179	1	8395652	RERE	No associated clinical information for this SNP
rs11581328	1	8447713	RERE	Height
rs17032610	1	8455212	RERE	No associated clinical information for this SNP
rs6656249	1	8520956	RERE	No associated clinical information for this SNP
rs10492966	1	8537946	RERE	No associated clinical information for this SNP
rs6675857	1	8592095	RERE	No associated clinical information for this SNP
rs4908769	1	8641229	RERE	Allergy
rs11121213	1	8668128	RERE	No associated clinical information for this SNP
rs12567592	1	8728848	RERE	No associated clinical information for this SNP
rs4908777	1	8744178	RERE	No associated clinical information for this SNP
rs10492963	1	8750282	RERE	No associated clinical information for this SNP
rs11586056	1	8785140	RERE	Height
rs10864368	1	8858254	No gene information found	White blood cell count
rs10218541	1	8891970	No gene information found	No associated clinical information for this SNP
rs4418632	1	8934053	No gene information found	No associated clinical information for this SNP
rs6688840	1	8939447	No gene information found	No associated clinical information for this SNP
rs6692694	1	8940823	No gene information found	No associated clinical information for this SNP
rs2274327	1	8949347	CA6	No associated clinical information for this SNP
rs2274328	1	8949385	CA6	No associated clinical information for this SNP
rs4466678	1	8967332	CA6	No associated clinical information for this SNP
rs6697763	1	8977214	No gene information found	Carbonic anhydrase 6 levels
rs7533137	1	8982388	No gene information found	No associated clinical information for this SNP
rs9803645	1	8989813	No gene information found	No associated clinical information for this SNP
rs17033008	1	9000730	No gene information found	No associated clinical information for this SNP
rs11810507	1	9003179	SLC2A7	No associated clinical information for this SNP
rs7544111	1	9005363	SLC2A7	No associated clinical information for this SNP
rs7530465	1	9008327	SLC2A7	No associated clinical information for this SNP
rs12073178	1	9046137	SLC2A5	No associated clinical information for this SNP
rs12145292	1	9058537	SLC2A5	No associated clinical information for this SNP
rs12751466	1	9087797	SLC2A5	No associated clinical information for this SNP
rs12121864	1	9145273	No gene information found	Developmental language disorder (linguistic errors)
rs809972	1	9174304	MIR34AHG	No associated clinical information for this SNP
rs4908817	1	9185513	LNCTAM34A;MIR34AHG	No associated clinical information for this SNP
rs2239560	1	9244672	H6PD	No associated clinical information for this SNP
rs2268169	1	9261182	H6PD	No associated clinical information for this SNP
rs2871656	1	9277058	No gene information found	No associated clinical information for this SNP
rs10492967	1	9371164	No gene information found	No associated clinical information for this SNP
rs9308447	1	9372331	No gene information found	Dental caries
rs9787285	1	9439187	LINC02606	Height
rs12565445	1	9450091	No gene information found	No associated clinical information for this SNP
rs12042017	1	9465705	No gene information found	No associated clinical information for this SNP
rs12755956	1	9507730	No gene information found	No associated clinical information for this SNP
rs7411273	1	9546983	SLC25A33	No associated clinical information for this SNP
rs9430506	1	9633930	PIK3CD	No associated clinical information for this SNP
rs12568084	1	9674229	PIK3CD;PIK3CD-AS2	No associated clinical information for this SNP
rs12075554	1	9707759	PIK3CD	No associated clinical information for this SNP
rs10864436	1	9741283	CLSTN1	No associated clinical information for this SNP
rs1933734	1	9842070	No gene information found	No associated clinical information for this SNP
rs11121515	1	10065707	UBE4B	No associated clinical information for this SNP
rs10127541	1	10105258	UBE4B	No associated clinical information for this SNP
rs17034501	1	10132968	UBE4B	No associated clinical information for this SNP
rs12070814	1	10140516	UBE4B	No associated clinical information for this SNP
rs946504	1	10248539	KIF1B	No associated clinical information for this SNP
rs4846212	1	10310254	KIF1B	No associated clinical information for this SNP
rs2182326	1	10325606	KIF1B	No associated clinical information for this SNP
rs4846217	1	10391742	No gene information found	Platelet count
rs544289	1	10439179	CENPS-CORT;CENPS	No associated clinical information for this SNP
rs6540935	1	10511784	PEX14	No associated clinical information for this SNP
rs10157111	1	10553287	PEX14	No associated clinical information for this SNP
rs11577757	1	10590287	PEX14	No associated clinical information for this SNP
rs284272	1	10593571	PEX14	No associated clinical information for this SNP
rs284267	1	10596294	PEX14	No associated clinical information for this SNP
rs4845953	1	10741932	CASZ1	No associated clinical information for this SNP
rs205490	1	10747312	CASZ1	No associated clinical information for this SNP
rs1769669	1	10813325	No gene information found	No associated clinical information for this SNP
rs539790	1	10827866	No gene information found	No associated clinical information for this SNP
rs7555879	1	10829969	No gene information found	No associated clinical information for this SNP
rs946684	1	10841937	No gene information found	No associated clinical information for this SNP
rs12140279	1	10842616	No gene information found	No associated clinical information for this SNP
rs1280989	1	10864216	No gene information found	No associated clinical information for this SNP
rs1280972	1	10918005	No gene information found	No associated clinical information for this SNP
rs1280984	1	10924505	No gene information found	No associated clinical information for this SNP
rs744921	1	10938452	No gene information found	No associated clinical information for this SNP
rs1281008	1	10950945	C1orf127	No associated clinical information for this SNP
rs12059717	1	10983428	No gene information found	No associated clinical information for this SNP
rs2275525	1	11109619	MTOR	No associated clinical information for this SNP
rs17036350	1	11111169	MTOR	Corneal curvature
rs2788549	1	11357925	No gene information found	No associated clinical information for this SNP
rs6660541	1	11387748	No gene information found	No associated clinical information for this SNP
rs6685668	1	11387793	No gene information found	No associated clinical information for this SNP
rs4335380	1	11392507	No gene information found	No associated clinical information for this SNP
rs2379143	1	11417135	No gene information found	No associated clinical information for this SNP
rs877309	1	11429621	No gene information found	No associated clinical information for this SNP
rs10864508	1	11430687	No gene information found	No associated clinical information for this SNP
rs11585441	1	11441374	No gene information found	No associated clinical information for this SNP
rs11808316	1	11559097	No gene information found	No associated clinical information for this SNP
rs2745275	1	11585541	No gene information found	No associated clinical information for this SNP
rs17037122	1	11629606	No gene information found	No associated clinical information for this SNP
rs9651118	1	11802157	MTHFR	Moyamoya disease
rs17376328	1	11816605	CLCN6	Systolic blood pressure
rs198372	1	11849457	No gene information found	No associated clinical information for this SNP
rs198388	1	11857283	No gene information found	No associated clinical information for this SNP
rs12562952	1	11866999	No gene information found	No associated clinical information for this SNP
rs6541012	1	12052663	No gene information found	No associated clinical information for this SNP
rs648194	1	12153108	No gene information found	No associated clinical information for this SNP
rs1061631	1	12208442	TNFRSF1B	No associated clinical information for this SNP
rs7552664	1	12217910	No gene information found	No associated clinical information for this SNP
rs235256	1	12236175	VPS13D	No associated clinical information for this SNP
rs235243	1	12259937	VPS13D	No associated clinical information for this SNP
rs12731666	1	12464597	VPS13D	No associated clinical information for this SNP
rs6541024	1	12505093	VPS13D	No associated clinical information for this SNP
rs4845904	1	12559066	No gene information found	No associated clinical information for this SNP
rs3128458	1	12580099	DHRS3	No associated clinical information for this SNP
rs12070206	1	12629686	No gene information found	No associated clinical information for this SNP
rs11121955	1	12663173	AADACL4	No associated clinical information for this SNP
rs2027589	1	12664920	AADACL4	No associated clinical information for this SNP
rs2489260	1	12681229	No gene information found	Obesity-related traits
rs3000857	1	12717928	AADACL3	No associated clinical information for this SNP
rs3010877	1	12719616	AADACL3	No associated clinical information for this SNP
rs3000931	1	12725693	AADACL3	No associated clinical information for this SNP
rs11809649	1	12748643	CFAP107	No associated clinical information for this SNP
rs1811829	1	12768347	No gene information found	No associated clinical information for this SNP
rs4282833	1	12774110	PRAMEF12	No associated clinical information for this SNP
rs1812242	1	12775725	PRAMEF12	No associated clinical information for this SNP
rs864728	1	12811188	No gene information found	No associated clinical information for this SNP
rs11580598	1	13456887	No gene information found	No associated clinical information for this SNP
rs12128613	1	13463082	No gene information found	No associated clinical information for this SNP
rs3013101	1	13473667	No gene information found	No associated clinical information for this SNP
rs11578529	1	13495945	LRRC38	No associated clinical information for this SNP
rs11811167	1	13500935	LRRC38	No associated clinical information for this SNP
rs10803381	1	13500989	LRRC38	No associated clinical information for this SNP
rs16851109	1	13518270	No gene information found	No associated clinical information for this SNP
rs16851217	1	13525737	No gene information found	No associated clinical information for this SNP
rs12750399	1	13526460	No gene information found	No associated clinical information for this SNP
rs12034380	1	13539632	No gene information found	No associated clinical information for this SNP
rs12085507	1	13557135	No gene information found	No associated clinical information for this SNP
rs946332	1	13577220	No gene information found	No associated clinical information for this SNP
rs12735797	1	13578723	No gene information found	No associated clinical information for this SNP
rs2361030	1	13580059	No gene information found	No associated clinical information for this SNP
rs1148455	1	13587735	PDPN	No associated clinical information for this SNP
rs10927904	1	13588414	PDPN	No associated clinical information for this SNP
rs7514217	1	13596304	PDPN	No associated clinical information for this SNP
rs11588651	1	13621410	No gene information found	No associated clinical information for this SNP
rs12408369	1	13628231	No gene information found	No associated clinical information for this SNP
rs4661410	1	13630236	No gene information found	No associated clinical information for this SNP
rs3856318	1	13693697	No gene information found	No associated clinical information for this SNP
rs10489151	1	13729214	PRDM2	No associated clinical information for this SNP
rs7522689	1	13754253	PRDM2	No associated clinical information for this SNP
rs1203638	1	13795397	PRDM2	Anti-drug antibodies in autoimmune disease (time to event)
rs2281170	1	13797603	PRDM2	No associated clinical information for this SNP
rs12092520	1	13830156	No gene information found	No associated clinical information for this SNP
rs10927938	1	13833717	No gene information found	No associated clinical information for this SNP
rs12407665	1	13871220	No gene information found	No associated clinical information for this SNP
rs2038095	1	13898504	KAZN	No associated clinical information for this SNP
rs6429804	1	13924179	KAZN	No associated clinical information for this SNP
rs12127990	1	13925593	KAZN	No associated clinical information for this SNP
rs7543063	1	13926082	KAZN	No associated clinical information for this SNP
rs1005301	1	13930369	KAZN	No associated clinical information for this SNP
rs10927966	1	13949268	KAZN	No associated clinical information for this SNP
rs10927969	1	13953018	KAZN	No associated clinical information for this SNP
rs12043211	1	13957965	KAZN	No associated clinical information for this SNP
rs4662057	1	13959969	KAZN	No associated clinical information for this SNP
rs12044299	1	13961624	KAZN	Response to SSRI (symptom remission)
rs12117960	1	13965415	KAZN	No associated clinical information for this SNP
rs725397	1	13977673	KAZN	No associated clinical information for this SNP
rs7551405	1	14019824	KAZN	No associated clinical information for this SNP
rs7414562	1	14033285	KAZN	No associated clinical information for this SNP
rs2294811	1	14039298	KAZN	No associated clinical information for this SNP
rs4662089	1	14041794	KAZN	No associated clinical information for this SNP
rs12748863	1	14050304	KAZN	No associated clinical information for this SNP
rs727668	1	14060639	KAZN	No associated clinical information for this SNP
rs12726425	1	14083190	KAZN	No associated clinical information for this SNP
rs7515917	1	14112547	KAZN	No associated clinical information for this SNP
rs6664213	1	14113646	KAZN	No associated clinical information for this SNP
rs4662110	1	14122076	KAZN	No associated clinical information for this SNP
rs1417144	1	14139590	KAZN	No associated clinical information for this SNP
rs12758112	1	14147431	KAZN	No associated clinical information for this SNP
rs10489144	1	14168508	KAZN	No associated clinical information for this SNP
rs12568548	1	14170292	KAZN	No associated clinical information for this SNP
rs10928048	1	14174388	KAZN	No associated clinical information for this SNP
rs10754914	1	14181244	KAZN	Vertex-wise sulcal depth
rs10803474	1	14181308	KAZN	No associated clinical information for this SNP
rs517269	1	14184854	KAZN	No associated clinical information for this SNP
rs657359	1	14187114	KAZN	No associated clinical information for this SNP
rs1339366	1	14217585	KAZN	No associated clinical information for this SNP
rs12024171	1	14241196	KAZN	No associated clinical information for this SNP
rs12403204	1	14249497	KAZN	No associated clinical information for this SNP
rs10928056	1	14259153	KAZN	No associated clinical information for this SNP
rs12406699	1	14271560	KAZN	No associated clinical information for this SNP
rs3737643	1	14312117	KAZN	No associated clinical information for this SNP
rs17395713	1	14324184	KAZN	No associated clinical information for this SNP
rs2149507	1	14326287	KAZN	No associated clinical information for this SNP
rs820623	1	14334799	KAZN	No associated clinical information for this SNP
rs703797	1	14339647	KAZN-AS1;KAZN	No associated clinical information for this SNP
rs768725	1	14345984	KAZN-AS1;KAZN	No associated clinical information for this SNP
rs12401776	1	14444902	KAZN	No associated clinical information for this SNP
rs12564154	1	14463039	KAZN	No associated clinical information for this SNP
rs2480060	1	14474657	KAZN	No associated clinical information for this SNP
rs2211180	1	14538084	KAZN	No associated clinical information for this SNP
rs10927460	1	14544072	KAZN	No associated clinical information for this SNP
rs4385705	1	14549536	KAZN	No associated clinical information for this SNP
rs10927466	1	14563575	KAZN	No associated clinical information for this SNP
rs6666337	1	14573858	KAZN	No associated clinical information for this SNP
rs7527439	1	14575756	KAZN	No associated clinical information for this SNP
rs10803288	1	14582343	KAZN	No associated clinical information for this SNP
rs7542378	1	14618545	KAZN	No associated clinical information for this SNP
rs1009735	1	14677079	KAZN	No associated clinical information for this SNP
rs6429674	1	14746118	KAZN	No associated clinical information for this SNP
rs6429675	1	14746149	KAZN	No associated clinical information for this SNP
rs3930209	1	14799718	KAZN	No associated clinical information for this SNP
rs6671788	1	14803731	KAZN	No associated clinical information for this SNP
rs3845590	1	14812242	KAZN	No associated clinical information for this SNP
rs3795756	1	14820587	KAZN	No associated clinical information for this SNP
rs804134	1	14824418	KAZN	No associated clinical information for this SNP
rs11585327	1	14840507	KAZN	No associated clinical information for this SNP
rs10803320	1	14861523	KAZN	No associated clinical information for this SNP
rs3765379	1	14863923	KAZN	No associated clinical information for this SNP
rs2801178	1	14881716	KAZN	No associated clinical information for this SNP
rs10754873	1	14942159	KAZN	No associated clinical information for this SNP
rs4661548	1	14951214	KAZN	No associated clinical information for this SNP
rs11485048	1	14958548	KAZN	No associated clinical information for this SNP
rs7531035	1	14988680	KAZN	No associated clinical information for this SNP
rs1316257	1	14996920	KAZN	No associated clinical information for this SNP
rs10803337	1	14998319	KAZN	No associated clinical information for this SNP
rs7529561	1	15001655	KAZN	No associated clinical information for this SNP
rs10803338	1	15003804	KAZN	No associated clinical information for this SNP
rs7541955	1	15005049	KAZN	No associated clinical information for this SNP
rs6681053	1	15008286	KAZN	No associated clinical information for this SNP
rs7554543	1	15011470	KAZN	No associated clinical information for this SNP
rs11578349	1	15012407	KAZN	No associated clinical information for this SNP
rs2871890	1	15025411	KAZN	No associated clinical information for this SNP
rs10927657	1	15046882	KAZN	No associated clinical information for this SNP
rs10927670	1	15085919	KAZN	No associated clinical information for this SNP
rs10927687	1	15140754	TMEM51-AS1	No associated clinical information for this SNP
rs12135755	1	15180824	TMEM51	No associated clinical information for this SNP
rs4661594	1	15181456	TMEM51	No associated clinical information for this SNP
rs10927713	1	15194491	TMEM51	No associated clinical information for this SNP
rs1316277	1	15213457	TMEM51	No associated clinical information for this SNP
rs12121147	1	15219085	TMEM51	No associated clinical information for this SNP
rs6429732	1	15232442	No gene information found	No associated clinical information for this SNP
rs767255	1	15234404	No gene information found	No associated clinical information for this SNP
rs1985917	1	15236263	No gene information found	No associated clinical information for this SNP
rs11585810	1	15243216	FHAD1	No associated clinical information for this SNP
rs752626	1	15275834	FHAD1	No associated clinical information for this SNP
rs12725686	1	15281922	FHAD1	No associated clinical information for this SNP
rs7554324	1	15318233	FHAD1	No associated clinical information for this SNP
rs763821	1	15341780	FHAD1-AS1;FHAD1	No associated clinical information for this SNP
rs12126178	1	15341823	FHAD1-AS1;FHAD1	No associated clinical information for this SNP
rs4661330	1	15360563	FHAD1	No associated clinical information for this SNP
rs736185	1	15378576	FHAD1	Height
rs742362	1	15400295	No gene information found	No associated clinical information for this SNP
rs11579489	1	15464144	CELA2A	No associated clinical information for this SNP
rs11580170	1	15583249	DNAJC16;AGMAT	No associated clinical information for this SNP
rs12746773	1	15675093	No gene information found	No associated clinical information for this SNP
rs7552400	1	15709397	PLEKHM2	No associated clinical information for this SNP
rs12745403	1	15715111	PLEKHM2	No associated clinical information for this SNP
rs12091644	1	15718450	PLEKHM2	No associated clinical information for this SNP
